,locus_tag,deg_id
323,BSU_03220,DNEG10010254
324,BSU_03230,DNEG10010255
325,BSU_03240,DNEG10010256
326,BSU_03250,DNEG10010257
327,BSU_03260,DNEG10010258
328,BSU_03270,DNEG10010259
329,BSU_03280,DNEG10010260
330,BSU_03290,DNEG10010261
331,BSU_03300,DNEG10010262
332,BSU_03310,DNEG10010263
333,BSU_03320,DNEG10010264
334,BSU_03330,DNEG10010265
335,BSU_03340,DNEG10010266
336,BSU_03350,DNEG10010267
337,BSU_03359,DNEG10010268
338,BSU_03360,DNEG10010269
339,BSU_03370,DNEG10010270
340,BSU_03380,DNEG10010271
341,BSU_03385,-
342,BSU_03390,DNEG10010272
343,BSU_03400,DNEG10010273
344,BSU_03410,DNEG10010274
345,BSU_03420,DNEG10010275
346,BSU_03430,DNEG10010276
347,BSU_03440,DNEG10010277
348,BSU_03450,DNEG10010278
349,BSU_03460,DNEG10010279
350,BSU_03470,DNEG10010280
351,BSU_03480,DNEG10010281
352,BSU_03490,DNEG10010282
353,BSU_03500,DNEG10010283
354,BSU_03510,DNEG10010284
355,BSU_03520,DNEG10010285
356,BSU_03530,DNEG10010286
357,BSU_03540,DNEG10010287
358,BSU_03550,DNEG10010288
359,BSU_03560,DNEG10010289
360,BSU_03580,DNEG10010290
361,BSU_03590,DNEG10010291
362,BSU_03600,DNEG10010292
363,BSU_03610,DNEG10010293
364,BSU_03620,DNEG10010294
365,BSU_03630,DNEG10010295
366,BSU_03640,DNEG10010296
367,BSU_03651,DNEG10010297
368,BSU_03652,DNEG10010298
369,BSU_03660,DNEG10010299
370,BSU_03670,DNEG10010300
371,BSU_03680,DNEG10010301
372,BSU_03690,DNEG10010302
373,BSU_03700,DNEG10010303
374,BSU_03710,DNEG10010304
375,BSU_03720,DNEG10010305
376,BSU_03730,DNEG10010306
377,BSU_03740,DNEG10010307
378,BSU_03750,DNEG10010308
379,BSU_03760,DNEG10010309
380,BSU_03770,DNEG10010310
381,BSU_03780,DNEG10010311
382,BSU_03788,-
383,BSU_03789,DNEG10010312
384,BSU_03790,DNEG10010313
385,BSU_03800,DNEG10010314
386,BSU_03810,DNEG10010315
387,BSU_03820,DNEG10010316
388,BSU_03830,DNEG10010317
389,BSU_03840,DNEG10010318
390,BSU_03850,DNEG10010319
391,BSU_03860,DNEG10010320
392,BSU_03870,DNEG10010321
393,BSU_03880,DNEG10010322
394,BSU_03890,DNEG10010323
